ds,model,seed,val/top1
cif10,res50,s1,0.7964000105857849
cif10,vitbs,s1,0.921999990940094
oxpet,vitbs,s3,0.6385869383811951
cif10,effb3,s3,0.8465999960899353
sfcar,res50,s3,0.1302211284637451
imnet,res50,s3,0.3551400005817413
cif10,effb3,s2,0.8406000137329102
imnet,effb3,s1,0.2256799936294555
imnet,res50,s1,0.358240008354187
cif10,res50,s2,0.7955999970436096
oxpet,effb3,s3,0.739130437374115
imnet,effb3,s3,0.2168799936771392
oxpet,res50,s2,0.6494565010070801
imnet,vitbs,s3,0.4889200031757355
imnet,vitbs,s1,0.4878999888896942
sfcar,effb3,s1,0.232186734676361
cif10,effb3,s1,0.8424000144004822
oxpet,effb3,s1,0.70923912525177
sfcar,vitbs,s3,0.458230972290039
oxpet,vitbs,s1,0.5978260636329651
imnet,effb3,s2,0.206619992852211
sfcar,res50,s1,0.1056511029601097
cif10,res50,s3,0.8015999794006348
cif10,vitbs,s2,0.9243999719619752
sfcar,res50,s2,0.1253071278333664
sfcar,vitbs,s1,0.4680589735507965
oxpet,res50,s1,0.6711956262588501
sfcar,effb3,s3,0.2383292317390442
imnet,vitbs,s2,0.4854600131511688
imnet,res50,s2,0.3554399907588959
oxpet,effb3,s2,0.7771739363670349
oxpet,vitbs,s2,0.6086956262588501
oxpet,res50,s3,0.654891312122345
cif10,vitbs,s3,0.9214000105857848
sfcar,effb3,s2,0.2174447178840637
sfcar,vitbs,s2,0.458230972290039
