ds,model,seed,val/top1
cif10,res50,s1,0.9124000072479248
cif10,vitbs,s1,0.9598000049591064
oxpet,vitbs,s3,0.7880434989929199
cif10,effb3,s3,0.9305999875068665
sfcar,res50,s3,0.6117936372756958
imnet,res50,s3,0.3557200133800506
cif10,effb3,s2,0.9315999746322632
imnet,effb3,s1,0.3085199892520904
imnet,res50,s1,0.3631199896335602
cif10,res50,s2,0.9139999747276306
oxpet,effb3,s3,0.8179348111152649
imnet,effb3,s3,0.2986800074577331
oxpet,res50,s2,0.8505434989929199
imnet,vitbs,s3,0.5093200206756592
imnet,vitbs,s1,0.5126399993896484
sfcar,effb3,s1,0.5847665667533875
cif10,effb3,s1,0.932200014591217
oxpet,effb3,s1,0.8396739363670349
sfcar,vitbs,s3,0.6547911763191223
oxpet,vitbs,s1,0.7989130616188049
imnet,effb3,s2,0.2888000011444092
sfcar,res50,s1,0.585995078086853
cif10,res50,s3,0.9128000140190125
cif10,vitbs,s2,0.9588000178337096
sfcar,res50,s2,0.6105651259422302
sfcar,vitbs,s1,0.6683046817779541
oxpet,res50,s1,0.85597825050354
sfcar,effb3,s3,0.5945945978164673
imnet,vitbs,s2,0.5073800086975098
imnet,res50,s2,0.3544000089168548
oxpet,effb3,s2,0.83152174949646
oxpet,vitbs,s2,0.804347813129425
oxpet,res50,s3,0.8478260636329651
cif10,vitbs,s3,0.9603999853134156
sfcar,effb3,s2,0.6007370948791504
sfcar,vitbs,s2,0.671990156173706
