ds,model,seed,val/top1
cif10,res50,s1,0.9391999840736388
cif10,vitbs,s1,0.9634000062942504
oxpet,vitbs,s3,0.554347813129425
cif10,effb3,s3,0.9408000111579896
sfcar,res50,s3,0.5626535415649414
cif10,effb3,s2,0.9394000172615052
cif10,res50,s2,0.9380000233650208
oxpet,effb3,s3,0.717391312122345
oxpet,res50,s2,0.7989130616188049
sfcar,effb3,s1,0.5184274911880493
cif10,effb3,s1,0.9387999773025512
oxpet,effb3,s1,0.7527173757553101
sfcar,vitbs,s3,0.5712530612945557
oxpet,vitbs,s1,0.58423912525177
sfcar,res50,s1,0.6081081032752991
cif10,res50,s3,0.945800006389618
cif10,vitbs,s2,0.9595999717712402
sfcar,res50,s2,0.5835380554199219
sfcar,vitbs,s1,0.4496314525604248
oxpet,res50,s1,0.782608687877655
sfcar,effb3,s3,0.525798499584198
oxpet,effb3,s2,0.7554348111152649
oxpet,vitbs,s2,0.5625
oxpet,res50,s3,0.79347825050354
cif10,vitbs,s3,0.9642000198364258
sfcar,effb3,s2,0.5171990394592285
sfcar,vitbs,s2,0.4631449580192566
