ds,model,seed,val/top1
cif10,res50,s1,0.9097999930381776
cif10,vitbs,s1,0.9315999746322632
oxpet,vitbs,s3,0.4211956560611725
cif10,effb3,s3,0.9233999848365784
sfcar,res50,s3,0.4434889554977417
cif10,effb3,s2,0.9106000065803528
cif10,res50,s2,0.8822000026702881
oxpet,effb3,s3,0.6385869383811951
oxpet,res50,s2,0.7010869383811951
sfcar,effb3,s1,0.3771498799324035
cif10,effb3,s1,0.9187999963760376
oxpet,effb3,s1,0.6820651888847351
sfcar,vitbs,s3,0.1400491446256637
oxpet,vitbs,s1,0.426630437374115
sfcar,res50,s1,0.4557739496231079
cif10,res50,s3,0.8992000222206116
cif10,vitbs,s2,0.9305999875068665
sfcar,res50,s2,0.4398034512996673
sfcar,vitbs,s1,0.1339066326618194
oxpet,res50,s1,0.717391312122345
sfcar,effb3,s3,0.3796068727970123
oxpet,effb3,s2,0.70652174949646
oxpet,vitbs,s2,0.45923912525177
oxpet,res50,s3,0.741847813129425
cif10,vitbs,s3,0.9358000159263612
sfcar,effb3,s2,0.3955774009227752
sfcar,vitbs,s2,0.110565111041069
