ds,model,seed,val/top1
cif10,res50,s1,0.9760000109672546
cif10,vitbs,s1,0.9901999831199646
oxpet,vitbs,s3,0.9429348111152648
cif10,effb3,s3,0.9832000136375428
sfcar,res50,s3,0.7235872149467468
imnet,res50,s3,0.4032399952411651
cif10,effb3,s2,0.9819999933242798
imnet,effb3,s1,0.3674399852752685
imnet,res50,s1,0.4075399935245514
cif10,res50,s2,0.9769999980926514
oxpet,effb3,s3,0.95923912525177
imnet,effb3,s3,0.3544799983501434
oxpet,res50,s2,0.9510869383811952
imnet,vitbs,s3,0.5177599787712097
imnet,vitbs,s1,0.5159599781036377
sfcar,effb3,s1,0.7420147657394409
cif10,effb3,s1,0.9832000136375428
oxpet,effb3,s1,0.95923912525177
sfcar,vitbs,s3,0.8648648858070374
oxpet,vitbs,s1,0.945652186870575
imnet,effb3,s2,0.3457599878311157
sfcar,res50,s1,0.7113022208213806
cif10,res50,s3,0.97680002450943
cif10,vitbs,s2,0.9901999831199646
sfcar,res50,s2,0.735872209072113
sfcar,vitbs,s1,0.8611793518066406
oxpet,res50,s1,0.95652174949646
sfcar,effb3,s3,0.7469287514686584
imnet,vitbs,s2,0.5117999911308289
imnet,res50,s2,0.402999997138977
oxpet,effb3,s2,0.95923912525177
oxpet,vitbs,s2,0.945652186870575
oxpet,res50,s3,0.9510869383811952
cif10,vitbs,s3,0.9914000034332277
sfcar,effb3,s2,0.7395577430725098
sfcar,vitbs,s2,0.8525798320770264
