model,seed,spars,val/top1
res50,s2,80,0.3871800005435943
res50,s3,65,0.3938199877738952
effb3,s2,65,0.3348200023174286
effb3,s3,65,0.3409000039100647
effb3,s1,65,0.3547999858856201
res50,s1,95,0.2763999998569488
res50,s3,95,0.2767199873924255
vitbs,s1,65,0.4921999871730804
effb3,s3,95,0.1042599976062774
res50,s1,65,0.39792001247406
effb3,s1,95,0.1080600023269653
res50,s3,80,0.3875199854373932
effb3,s1,80,0.3177399933338165
vitbs,s1,95,0.4387800097465515
res50,s1,80,0.3887600004673004
vitbs,s3,95,0.4370799958705902
vitbs,s3,65,0.4903799891471863
res50,s2,95,0.2753399908542633
effb3,s3,80,0.3028599917888641
effb3,s2,80,0.2993600070476532
vitbs,s1,80,0.4841800034046173
vitbs,s2,65,0.4843800067901611
vitbs,s2,80,0.478659987449646
vitbs,s3,80,0.4843800067901611
res50,s2,65,0.3982999920845032
effb3,s2,95,0.1058000028133392
vitbs,s2,95,0.4331200122833252
