model,seed,spars,val/top1
res50,s2,80,0.3704000115394592
res50,s3,65,0.3812800049781799
effb3,s2,65,0.3363600075244903
effb3,s3,65,0.3434599936008453
effb3,s1,65,0.3581199944019317
res50,s1,95,0.3380799889564514
res50,s3,95,0.330839991569519
vitbs,s1,65,0.4763199985027313
effb3,s3,95,0.2333800047636032
res50,s1,65,0.3810999989509582
effb3,s1,95,0.2434799969196319
res50,s3,80,0.3718200027942657
effb3,s1,80,0.3441399931907654
vitbs,s1,95,0.5121399760246277
res50,s1,80,0.3751600086688995
vitbs,s3,95,0.5073599815368652
vitbs,s3,65,0.4788799881935119
res50,s2,95,0.3324599862098694
effb3,s3,80,0.3332400023937225
effb3,s2,80,0.3218399882316589
vitbs,s1,80,0.4887999892234802
vitbs,s2,65,0.4774599969387054
vitbs,s2,80,0.4871399998664856
vitbs,s3,80,0.487960010766983
res50,s2,65,0.3773399889469147
effb3,s2,95,0.2279199957847595
vitbs,s2,95,0.5081400275230408
