model,seed,spars,val/top1
res50,s2,80,0.509440004825592
res50,s3,65,0.5013599991798401
effb3,s2,65,0.542739987373352
effb3,s3,65,0.5550000071525574
effb3,s1,65,0.5543599724769592
res50,s1,95,0.5107600092887878
res50,s3,95,0.5109800100326538
effb3,s3,95,0.4321399927139282
res50,s1,65,0.5016000270843506
effb3,s1,95,0.4304800033569336
res50,s3,80,0.5029799938201904
effb3,s1,80,0.5711399912834167
res50,s1,80,0.508080005645752
res50,s2,95,0.5117200016975403
effb3,s3,80,0.5711600184440613
effb3,s2,80,0.5551599860191345
res50,s2,65,0.5127400159835815
effb3,s2,95,0.4157400131225586
