model,seed,spars,val/top1
res50,s2,80,0.5053200125694275
res50,s3,65,0.4859000146389007
effb3,s2,65,0.5364199876785278
effb3,s3,65,0.55485999584198
effb3,s1,65,0.5514799952507019
res50,s1,95,0.5406799912452698
res50,s3,95,0.5392000079154968
effb3,s3,95,0.5371800065040588
res50,s1,65,0.488180011510849
effb3,s1,95,0.5360199809074402
res50,s3,80,0.4971599876880646
effb3,s1,80,0.5664600133895874
res50,s1,80,0.4982399940490722
res50,s2,95,0.5421800017356873
effb3,s3,80,0.5678799748420715
effb3,s2,80,0.5508800148963928
res50,s2,65,0.4916799962520599
effb3,s2,95,0.5257999897003174
