lr,model,seed,val/top1
1e-5,res50,s1,0.0371799990534782
1e-5,vitbs,s3,0.2211599946022033
1e-5,effb3,s3,0.0358400009572505
1e-3,effb3,s1,0.5694000124931335
1e-3,res50,s1,0.5259799957275391
1e-5,vitbs,s2,0.216959998011589
1e-3,res50,s3,0.5181199908256531
1e-5,res50,s3,0.0372000001370906
1e-3,vitbs,s3,0.429720014333725
1e-5,effb3,s2,0.0390000008046627
1e-3,effb3,s2,0.5575399994850159
1e-3,vitbs,s2,0.422760009765625
1e-3,vitbs,s1,0.4362199902534485
1e-5,effb3,s1,0.0359399989247322
1e-5,vitbs,s1,0.2154600024223327
1e-3,effb3,s3,0.5710399746894836
1e-3,res50,s2,0.5266199707984924
1e-5,res50,s2,0.0370999984443187
